"LGA","Rank","Cause_of_death","Deaths","Per_cent_of_all_causes","Crude_rate","Age-standardised_rate_(per_100,000)","Rate_ratio_(relative_to_all_of_Australia)"
"Armidale Regional",6,"Lung Cancer",40.56928,3.7899473,27.481976,20.313835,0.7408859
"Armidale Regional",7,"Colorectal Cancer",35.125059,3.2813528,23.794014,17.390169,1.0266099
"Armidale Regional",8,"Diabetes",29.285298,2.7358073,19.83811,14.045219,0.898647
"Armidale Regional",9,"Unknown / Ill-defined Cancer",25.52037,2.384091,17.287716,12.630337,1.3364392
"Armidale Regional",10,"Breast Cancer",22.354956,2.0883807,15.143437,12.068514,1.1810254
"Armidale Regional",11,"Prostate Cancer",19.605412,1.8315208,13.280873,NA,NA
"Armidale Regional",12,"Other Ill-defined Causes",17.694998,1.6530515,11.986742,NA,NA
"Armidale Regional",13,"Suicide",16.418075,1.5337625,11.121744,NA,NA
"Armidale Regional",14,"Parkinson disease (G20)",15.254771,1.4250876,10.333712,NA,NA
"Armidale Regional",15,"Liver disease (K70–K76)",15.224803,1.422288,10.313411,NA,NA
"Armidale Regional",16,"Kidney Failure",14.293919,1.3353256,9.6828224,NA,NA
"Armidale Regional",17,"Influenza / Pneumonia",14.109072,1.3180574,9.5576057,NA,NA
"Armidale Regional",18,"Leukaemia (C91–C95)",13.319889,1.2443326,9.0230062,NA,NA
"Armidale Regional",19,"Pancreatic Cancer",13.245099,1.2373458,8.9723432,NA,NA
"Armidale Regional",20,"Non-rheumatic valve disorders (I34–I38)",13.224803,1.2354497,8.9585944,NA,NA
"Armidale Regional",NA,"Top 20 leading causes",695.48624,64.971727,NA,NA,NA
"Armidale Regional",NA,"All causes",1070.4444,100,725.12819,538.58722,1.0485186
"Ballina",1,"Coronary Heart Disease",246.25234,10.686721,109.63361,47.255539,0.8716461
"Ballina",2,"Stroke / Cerebrovascular Disease",184.10463,7.9896696,81.964927,35.022154,1.1786897
"Ballina",3,"Dementia / Alzheimer's",174.03077,7.55249,77.479962,30.504298,0.7173788
"Ballina",4,"Lung Cancer",129.16618,5.6054814,57.505867,31.883066,1.1628387
"Ballina",5,"Chronic Obstructive Pulmonary Disease",90.098475,3.9100432,40.112598,18.67484,0.8437056
"Ballina",6,"Diabetes",77.049238,3.3437397,34.302968,16.62444,1.0636718
"Ballina",7,"Heart Failure / Ill-defined Heart Disease",62.036928,2.6922439,27.619361,12.485439,1.2481052
"Ballina",8,"Unknown / Ill-defined Cancer",61.067702,2.6501819,27.187854,13.197626,1.396465
"Ballina",9,"Colorectal Cancer",56.092321,2.4342631,24.972772,12.699736,0.7497152
"Ballina",10,"Prostate Cancer",55.055392,2.3892631,24.511123,11.99525,1.1278836
"Ballina",11,"Cardiac Arrhythmias",53.018464,2.3008656,23.604265,9.6190027,1.3542168
"Ballina",12,"Pancreatic Cancer",51.067702,2.2162075,22.73577,12.025268,1.1790404
"Ballina",13,"Hypertensive Disease",48.024619,2.0841455,21.380964,9.0424654,1.3691109
"Ballina",14,"Kidney Failure",39.024619,1.6935685,17.374088,7.4593078,1.0362492
"Ballina",15,"Accidental Falls",36.012309,1.562842,16.032983,7.0103738,0.7235917
"Ballina",16,"Suicide",35.086166,1.5226498,15.620656,16.984218,1.346752
"Ballina",17,"Breast Cancer",32.055392,1.391122,14.27133,8.4979237,0.8316072
"Ballina",18,"Influenza / Pneumonia",32.036928,1.3903207,14.263109,6.8242451,0.7525953
"Ballina",19,"Liver disease (K70–K76)",30.036928,1.3035258,13.372693,7.9530574,1.1006458
"Ballina",20,"Parkinson disease (G20)",26.036928,1.129936,11.591859,5.1504722,0.8291793
"Ballina",NA,"Top 20 leading causes",1517.354,65.84928,NA,NA,NA
"Ballina",NA,"All causes",2304.2834,100,1025.8863,500.05656,0.9735073
"Balranald",1,"Coronary Heart Disease",10.878023,13.636364,97.799511,NA,NA
"Balranald",2,"Stroke / Cerebrovascular Disease",6.6476806,8.3333333,59.766368,NA,NA
"Balranald",3,"Chronic Obstructive Pulmonary Disease",6.043346,7.5757576,54.333062,NA,NA
"Balranald",4,"Colorectal Cancer",5.4390114,6.8181818,48.899756,NA,NA
"Balranald",5,"Lung Cancer",5.4390114,6.8181818,48.899756,NA,NA
"Balranald",6,"Diabetes",4.8346768,6.0606061,43.466449,NA,NA
"Balranald",7,"Suicide",4.2303422,5.3030303,38.033143,NA,NA
"Balranald",8,"Certain conditions originating in the perinatal period, congenital malformations, deformations and chromosomal abnormalities (P00–P96, Q00–Q99 excl. P28.5)",3.021673,3.7878788,27.166531,NA,NA
"Balranald",9,"Oesophageal cancer (C15)",1.8130038,2.2727273,16.299919,NA,NA
"Balranald",10,"Aplastic and other anaemias (D60–D64)",1.8130038,2.2727273,16.299919,NA,NA
"Balranald",11,"Dementia / Alzheimer's",1.8130038,2.2727273,16.299919,NA,NA
"Balranald",12,"Diseases of the musculoskeletal system and connective tissue (M00–M99)",1.8130038,2.2727273,16.299919,NA,NA
"Balranald",13,"Other Ill-defined Causes",1.8130038,2.2727273,16.299919,NA,NA
"Balranald",14,"Malignant neoplasms of lip, oral cavity and pharynx (C00–C14)",1.2086692,1.5151515,10.866612,NA,NA
"Balranald",15,"Liver Cancer",1.2086692,1.5151515,10.866612,NA,NA
"Balranald",16,"Unknown / Ill-defined Cancer",1.2086692,1.5151515,10.866612,NA,NA
"Balranald",17,"Other malignant neoplasms of skin (C44)",1.2086692,1.5151515,10.866612,NA,NA
"Balranald",18,"Brain cancer (C71)",1.2086692,1.5151515,10.866612,NA,NA
"Balranald",19,"Parkinson disease (G20)",1.2086692,1.5151515,10.866612,NA,NA
"Balranald",20,"Hypertensive Disease",1.2086692,1.5151515,10.866612,NA,NA
"Balranald",NA,"Top 20 leading causes",64.059468,80.30303,NA,NA,NA
"Balranald",NA,"All causes",79.772167,100,717.19641,586.80069,1.1423803
"Bathurst Regional",1,"Coronary Heart Disease",142.97476,9.0299575,66.40611,49.395237,0.9111137
"Bathurst Regional",2,"Stroke / Cerebrovascular Disease",103.04279,6.5079461,47.859293,35.223911,1.1854799
"Bathurst Regional",3,"Chronic Obstructive Pulmonary Disease",94.938481,5.9960963,44.095161,34.134738,1.5421641
"Bathurst Regional",4,"Dementia / Alzheimer's",94.684518,5.9800566,43.977206,31.211357,0.734007
"Bathurst Regional",5,"Diabetes",73.256027,4.6266823,34.024521,25.194568,1.6120093
"Bathurst Regional",6,"Lung Cancer",65.376937,4.1290571,30.364996,23.536876,0.8584366
"Bathurst Regional",7,"Colorectal Cancer",58.581753,3.6998889,27.208902,21.459362,1.2668303
"Bathurst Regional",8,"Unknown / Ill-defined Cancer",37.357959,2.3594428,17.351291,13.053756,1.3812419
"Bathurst Regional",9,"Hypertensive Disease",37.355259,2.3592723,17.350037,12.169362,1.8425512
"Bathurst Regional",10,"Influenza / Pneumonia",36.896401,2.3302919,17.136916,12.154176,1.3403938
"Bathurst Regional",11,"Pancreatic Cancer",32.576075,2.05743,15.130296,11.739842,1.1510553
"Bathurst Regional",12,"Heart Failure / Ill-defined Heart Disease",30.903548,1.951797,14.353473,9.8458456,0.9842386
"Bathurst Regional",13,"Prostate Cancer",30.687257,1.9381367,14.253015,10.194719,0.9585842
"Bathurst Regional",14,"Breast Cancer",28.897116,1.8250754,13.421565,10.532257,1.0306872
"Bathurst Regional",15,"Cardiac Arrhythmias",28.681461,1.8114552,13.321402,9.2454745,1.3016294
"Bathurst Regional",16,"Other Ill-defined Causes",26.898585,1.6988528,12.493326,9.9179562,1.3371923
"Bathurst Regional",17,"Liver disease (K70–K76)",25.571549,1.6150403,11.876971,10.870952,1.5044613
"Bathurst Regional",18,"Kidney Failure",23.790221,1.5025357,11.049615,7.7482055,1.076383
"Bathurst Regional",19,"Suicide",21.683168,1.3694591,10.070972,10.522875,0.8344042
"Bathurst Regional",20,"Accidental Falls",19.78633,1.2496591,9.1899661,NA,NA
"Bathurst Regional",NA,"Top 20 leading causes",1013.9402,64.038133,NA,NA,NA
"Bathurst Regional",NA,"All causes",1583.3382,100,735.39782,563.09238,1.0962251
"Bayside (NSW)",1,"Dementia / Alzheimer's",527.00236,10.401569,60.818743,43.940818,1.0333696
"Bayside (NSW)",2,"Coronary Heart Disease",521.0293,10.283677,60.129421,47.280574,0.8721079
"Bayside (NSW)",3,"Stroke / Cerebrovascular Disease",327.6298,6.4665061,37.810139,29.511071,0.9932112
"Bayside (NSW)",4,"Lung Cancer",229.19067,4.5235899,26.449765,23.65844,0.8628703
"Bayside (NSW)",5,"Diabetes",200.14792,3.9503664,23.098085,18.758022,1.2001836
"Bayside (NSW)",6,"Chronic Obstructive Pulmonary Disease",179.24143,3.5377301,20.685369,16.997353,0.7679188
"Bayside (NSW)",7,"Colorectal Cancer",159.64206,3.1508927,18.423502,16.159713,0.9539712
"Bayside (NSW)",8,"Hypertensive Disease",117.58244,2.3207521,13.569609,9.9324824,1.5038675
"Bayside (NSW)",9,"Pancreatic Cancer",108.02944,2.1322024,12.467145,11.067563,1.0851403
"Bayside (NSW)",10,"Heart Failure / Ill-defined Heart Disease",97.978389,1.9338224,11.307203,8.3422704,0.8339339
"Bayside (NSW)",11,"Unknown / Ill-defined Cancer",91.663667,1.8091872,10.578452,8.7673485,0.9276893
"Bayside (NSW)",12,"Breast Cancer",89.857112,1.7735309,10.369966,9.1713276,0.8975066
"Bayside (NSW)",13,"Cardiac Arrhythmias",88.816665,1.7529953,10.249893,7.6049718,1.0706703
"Bayside (NSW)",14,"Liver Cancer",79.301316,1.5651886,9.1517737,8.1069174,1.1772875
"Bayside (NSW)",15,"Prostate Cancer",75.364128,1.4874794,8.6974022,6.9038443,0.6491514
"Bayside (NSW)",16,"Other Ill-defined Causes",74.492588,1.4702777,8.5968221,6.9933807,0.9428852
"Bayside (NSW)",17,"Kidney Failure",73.318378,1.447102,8.4613123,6.4267258,0.8928026
"Bayside (NSW)",18,"Septicaemia (A40–A41)",72.635374,1.4336214,8.3824901,6.4175177,1.4960462
"Bayside (NSW)",19,"Suicide",72.147693,1.4239959,8.3262093,7.7309566,0.6130209
"Bayside (NSW)",20,"Influenza / Pneumonia",69.383694,1.3694422,8.0072299,5.8565798,0.6458787
"Bayside (NSW)",NA,"Top 20 leading causes",3254.4544,64.233929,NA,NA,NA
"Bayside (NSW)",NA,"All causes",5066.566,100,584.70739,475.8742,0.9264292
"Bega Valley",1,"Coronary Heart Disease",180.72133,9.4541807,103.12456,53.488692,0.986619
"Bega Valley",2,"Dementia / Alzheimer's",134.59421,7.0411056,76.803154,36.309555,0.8539028
"Bega Valley",3,"Stroke / Cerebrovascular Disease",121.80341,6.3719731,69.504373,34.598752,1.1644399
"Bega Valley",4,"Lung Cancer",113.75539,5.9509522,64.911951,33.493224,1.2215644
"Bega Valley",5,"Chronic Obstructive Pulmonary Disease",104.93565,5.4895601,59.879166,29.204564,1.3194251
"Bega Valley",6,"Colorectal Cancer",66.055057,3.4555769,37.692831,21.645097,1.2777949
"Bega Valley",7,"Diabetes",58.606976,3.0659411,33.442751,16.638127,1.0645476
"Bega Valley",8,"Prostate Cancer",50.998466,2.6679126,29.101126,14.060566,1.3220802
"Bega Valley",9,"Heart Failure / Ill-defined Heart Disease",48.12442,2.517561,27.461117,14.030477,1.4025547
"Bega Valley",10,"Pancreatic Cancer",43.696117,2.2859005,24.934205,12.832712,1.2582078
"Bega Valley",11,"Cardiac Arrhythmias",42.66124,2.2317624,24.343676,11.520349,1.6218989
"Bega Valley",12,"Breast Cancer",41.600422,2.1762673,23.738344,12.690769,1.2419193
"Bega Valley",13,"Suicide",39.046602,2.0426677,22.281064,23.599553,1.8713105
"Bega Valley",14,"Unknown / Ill-defined Cancer",38.596059,2.0190983,22.023972,10.895129,1.1528336
"Bega Valley",15,"Accidental Falls",35.350301,1.849301,20.171854,9.8471052,1.0163914
"Bega Valley",16,"Melanoma of the skin (C43)",29.60033,1.5484994,16.890762,10.642916,2.3328763
"Bega Valley",17,"Exposure to unspecified factor (X59)",28.030664,1.4663845,15.995067,7.4828439,2.9289075
"Bega Valley",18,"Influenza / Pneumonia",25.828406,1.3511765,14.738398,8.4970657,0.9370783
"Bega Valley",19,"Hypertensive Disease",25.350232,1.3261615,14.465539,7.8639917,1.1906793
"Bega Valley",20,"Brain cancer (C71)",23.543864,1.2316639,13.434776,8.4606405,1.6957908
"Bega Valley",NA,"Top 20 leading causes",1252.8991,65.543646,NA,NA,NA
"Bega Valley",NA,"All causes",1911.5493,100,1090.7826,587.1614,1.1430825
"Bellingen",1,"Coronary Heart Disease",51.722186,7.9260238,79.216406,43.675149,0.8056045
"Bellingen",2,"Chronic Obstructive Pulmonary Disease",44.03119,6.7474383,67.437068,36.102308,1.6310564
"Bellingen",3,"Stroke / Cerebrovascular Disease",43.711745,6.6984859,66.947815,36.946616,1.2434585
"Bellingen",4,"Dementia / Alzheimer's",39.680488,6.080727,60.773643,32.246597,0.758353
"Bellingen",5,"Colorectal Cancer",34.680469,5.3145128,53.115738,29.433357,1.7375665
"Bellingen",6,"Lung Cancer",33.381897,5.1155168,51.126878,28.107801,1.0251473
"Bellingen",7,"Diabetes",19.670107,3.0142913,30.126243,NA,NA
"Bellingen",8,"Suicide",17.690941,2.7109995,27.095003,NA,NA
"Bellingen",9,"Prostate Cancer",17.670112,2.7078075,27.0631,NA,NA
"Bellingen",10,"Pancreatic Cancer",15.670118,2.401324,23.99996,NA,NA
"Bellingen",11,"Cardiac Arrhythmias",14.010382,2.1469823,21.45795,NA,NA
"Bellingen",12,"Unknown / Ill-defined Cancer",13.680551,2.0964383,20.952789,NA,NA
"Bellingen",13,"Liver disease (K70–K76)",12.350672,1.8926447,18.91598,NA,NA
"Bellingen",14,"Heart Failure / Ill-defined Heart Disease",11.690944,1.7915464,17.905556,NA,NA
"Bellingen",15,"Parkinson disease (G20)",10.670114,1.6351122,16.342079,NA,NA
"Bellingen",16,"Breast Cancer",9.0104064,1.3807749,13.800113,NA,NA
"Bellingen",17,"Kidney Failure",9.0104039,1.3807745,13.800109,NA,NA
"Bellingen",18,"Hypertensive Disease",9.0104002,1.3807739,13.800103,NA,NA
"Bellingen",19,"Influenza / Pneumonia",8.6805385,1.3302252,13.294895,NA,NA
"Bellingen",20,"Lymphomas (C81–C86, C96)",8.3402767,1.2780827,12.773759,NA,NA
"Bellingen",NA,"Top 20 leading causes",424.36394,65.030482,NA,NA,NA
"Bellingen",NA,"All causes",652.56158,100,999.44698,586.26369,1.1413349
"Berrigan",1,"Coronary Heart Disease",63.799726,13.138686,145.76374,63.235987,1.1664115
"Berrigan",2,"Dementia / Alzheimer's",43.419258,8.9416058,99.200324,40.239371,0.9463215
"Berrigan",3,"Lung Cancer",31.899863,6.5693431,72.881871,38.109222,1.389919
"Berrigan",4,"Heart Failure / Ill-defined Heart Disease",28.355434,5.8394161,64.783885,26.360481,2.6351218
"Berrigan",5,"Stroke / Cerebrovascular Disease",28.355434,5.8394161,64.783885,26.513428,0.8923239
"Berrigan",6,"Colorectal Cancer",19.494361,4.0145985,44.538921,NA,NA
"Berrigan",7,"Chronic Obstructive Pulmonary Disease",15.949931,3.2846715,36.440935,NA,NA
"Berrigan",8,"Prostate Cancer",14.177717,2.919708,32.391943,NA,NA
"Berrigan",9,"Diabetes",14.177717,2.919708,32.391943,NA,NA
"Berrigan",10,"Influenza / Pneumonia",11.519395,2.3722628,26.318453,NA,NA
"Berrigan",11,"Kidney Failure",10.633288,2.189781,24.293957,NA,NA
"Berrigan",12,"Pancreatic Cancer",9.7471803,2.0072993,22.26946,NA,NA
"Berrigan",13,"Unknown / Ill-defined Cancer",9.7471803,2.0072993,22.26946,NA,NA
"Berrigan",14,"Parkinson disease (G20)",9.7471803,2.0072993,22.26946,NA,NA
"Berrigan",15,"Hypertensive Disease",9.7471803,2.0072993,22.26946,NA,NA
"Berrigan",16,"Other Ill-defined Causes",9.7471803,2.0072993,22.26946,NA,NA
"Berrigan",17,"Breast Cancer",7.9749657,1.6423358,18.220468,NA,NA
"Berrigan",18,"Suicide",7.9749657,1.6423358,18.220468,NA,NA
"Berrigan",19,"Bladder cancer (C67)",7.0888584,1.459854,16.195971,NA,NA
"Berrigan",20,"Leukaemia (C91–C95)",7.0888584,1.459854,16.195971,NA,NA
"Berrigan",NA,"Top 20 leading causes",360.64567,74.270073,NA,NA,NA
"Berrigan",NA,"All causes",485.5868,100,1109.424,527.17306,1.0262976
"Blacktown",1,"Coronary Heart Disease",881.25709,10.516447,46.46664,59.121389,1.0905162
"Blacktown",2,"Dementia / Alzheimer's",586.21919,6.9956236,30.909976,41.979667,0.9872486
"Blacktown",3,"Lung Cancer",524.25838,6.2562168,27.642927,33.521524,1.2225965
"Blacktown",4,"Stroke / Cerebrovascular Disease",441.6314,5.2701909,23.286198,30.558441,1.028461
"Blacktown",5,"Chronic Obstructive Pulmonary Disease",405.29732,4.8365996,21.370386,27.853079,1.2583668
"Blacktown",6,"Diabetes",338.74647,4.0424177,17.861315,22.578983,1.4446579
"Blacktown",7,"Colorectal Cancer",275.59528,3.2888054,14.531499,18.228952,1.0761265
"Blacktown",8,"Breast Cancer",195.24686,2.3299708,10.294914,12.174322,1.1913797
"Blacktown",9,"Unknown / Ill-defined Cancer",191.56089,2.2859843,10.100561,12.76167,1.3503357
"Blacktown",10,"Kidney Failure",152.52941,1.8202037,8.0425216,10.882899,1.5118555
"Blacktown",11,"Heart Failure / Ill-defined Heart Disease",151.39995,1.8067253,7.9829677,10.489917,1.0486231
"Blacktown",12,"Pancreatic Cancer",149.06413,1.7788509,7.8598055,9.5135639,0.9327756
"Blacktown",13,"Prostate Cancer",145.19997,1.7327382,7.6560575,10.281988,0.9667898
"Blacktown",14,"Other Ill-defined Causes",139.2486,1.6617177,7.3422555,8.6967575,1.1725437
"Blacktown",15,"Influenza / Pneumonia",136.83078,1.6328647,7.2147694,9.2463487,1.0197112
"Blacktown",16,"Liver Cancer",135.92462,1.6220511,7.1669898,8.4633466,1.2290482
"Blacktown",17,"Suicide",133.5289,1.5934619,7.040669,7.1502671,0.5669756
"Blacktown",18,"Certain conditions originating in the perinatal period, congenital malformations, deformations and chromosomal abnormalities (P00–P96, Q00–Q99 excl. P28.5)",132.96024,1.5866758,7.0106847,6.1700641,1.2590299
"Blacktown",19,"Liver disease (K70–K76)",128.75955,1.536547,6.7891918,7.7347327,1.0704313
"Blacktown",20,"Hypertensive Disease",126.79516,1.5131051,6.6856146,8.7782067,1.3290997
"Blacktown",NA,"Top 20 leading causes",5372.0542,64.107197,NA,NA,NA
"Blacktown",NA,"All causes",8379.7989,100,441.84734,552.67341,1.0759415
"Bland",1,"Coronary Heart Disease",39.063704,13.159111,136.04246,72.693328,1.3408557
"Bland",2,"Diabetes",18.01977,6.0701913,62.755283,NA,NA
"Bland",3,"Lung Cancer",16.046131,5.4053454,55.881926,NA,NA
"Bland",4,"Chronic Obstructive Pulmonary Disease",15.076885,5.0788424,52.506449,NA,NA
"Bland",5,"Stroke / Cerebrovascular Disease",15.02636,5.0618227,52.330495,NA,NA
"Bland",6,"Colorectal Cancer",14.030754,4.7264398,48.863216,NA,NA
"Bland",7,"Dementia / Alzheimer's",12.035147,4.0541941,41.913357,NA,NA
"Bland",8,"Hypertensive Disease",12.01977,4.0490141,41.859806,NA,NA
"Bland",9,"Prostate Cancer",8.0175736,2.7008227,27.921838,NA,NA
"Bland",10,"Heart Failure / Ill-defined Heart Disease",8.0087868,2.6978628,27.891237,NA,NA
"Bland",11,"Land transport accidents (V01–V89)",7.021967,2.3654399,24.454559,NA,NA
"Bland",12,"Influenza / Pneumonia",7.0087868,2.3609999,24.408657,NA,NA
"Bland",13,"Pancreatic Cancer",5.0175736,1.6902342,17.474099,NA,NA
"Bland",14,"Accidental Falls",5.0175736,1.6902342,17.474099,NA,NA
"Bland",15,"Cardiomyopathy (I42)",5.0087868,1.6872742,17.443498,NA,NA
"Bland",16,"Other urinary disorders (N30–N39)",5,1.6843143,17.412898,NA,NA
"Bland",17,"Breast Cancer",4.0263604,1.3563313,14.02212,NA,NA
"Bland",18,"Suicide",4.0109835,1.3511514,13.968569,NA,NA
"Bland",19,"Other Ill-defined Causes",4.0065901,1.3496714,13.953269,NA,NA
"Bland",20,"Pulmonary oedema and other interstitial pulmonary diseases (J80–J84)",4.0043934,1.3489314,13.945618,NA,NA
"Bland",NA,"Top 20 leading causes",207.4679,69.888228,NA,NA,NA
"Bland",NA,"All causes",296.85671,100,1033.8271,603.30103,1.1745031
"Blayney",1,"Coronary Heart Disease",29.908005,9.5238095,80.459154,57.59473,1.0623564
"Blayney",2,"Stroke / Cerebrovascular Disease",20.935604,6.6666667,56.321407,38.885264,1.3087048
"Blayney",3,"Colorectal Cancer",19.93867,6.3492063,53.639436,NA,NA
"Blayney",4,"Chronic Obstructive Pulmonary Disease",19.93867,6.3492063,53.639436,NA,NA
"Blayney",5,"Lung Cancer",15.950936,5.0793651,42.911549,NA,NA
"Blayney",6,"Diabetes",14.954003,4.7619048,40.229577,NA,NA
"Blayney",7,"Dementia / Alzheimer's",12.960136,4.1269841,34.865633,NA,NA
"Blayney",8,"Breast Cancer",9.969335,3.1746032,26.819718,NA,NA
"Blayney",9,"Unknown / Ill-defined Cancer",8.9724015,2.8571429,24.137746,NA,NA
"Blayney",10,"Prostate Cancer",8.9724015,2.8571429,24.137746,NA,NA
"Blayney",11,"Leukaemia (C91–C95)",8.9724015,2.8571429,24.137746,NA,NA
"Blayney",12,"Accidental Falls",7.975468,2.5396825,21.455774,NA,NA
"Blayney",13,"Non-rheumatic valve disorders (I34–I38)",4.9846675,1.5873016,13.409859,NA,NA
"Blayney",14,"Heart Failure / Ill-defined Heart Disease",4.9846675,1.5873016,13.409859,NA,NA
"Blayney",15,"Appendicitis, hernia and intestinal obstruction (K35–K46, K56)",4.9846675,1.5873016,13.409859,NA,NA
"Blayney",16,"Other diseases of intestines excl. paralytic ileus and intestinal obstruction without hernia (K55, K57–K64)",4.9846675,1.5873016,13.409859,NA,NA
"Blayney",17,"Other Ill-defined Causes",4.9846675,1.5873016,13.409859,NA,NA
"Blayney",18,"Liver Cancer",3.987734,1.2698413,10.727887,NA,NA
"Blayney",19,"Pancreatic Cancer",3.987734,1.2698413,10.727887,NA,NA
"Blayney",20,"Bladder cancer (C67)",3.987734,1.2698413,10.727887,NA,NA
"Blayney",NA,"Top 20 leading causes",216.33457,68.888889,NA,NA,NA
"Blayney",NA,"All causes",314.03405,100,844.82111,593.44117,1.155308
"Blue Mountains",1,"Coronary Heart Disease",372.42783,12.71621,94.489557,63.275657,1.1671432
"Blue Mountains",2,"Dementia / Alzheimer's",221.18057,7.5520096,56.116253,37.26334,0.8763333
"Blue Mountains",3,"Stroke / Cerebrovascular Disease",188.30559,6.4295233,47.775463,32.810577,1.1042578
"Blue Mountains",4,"Chronic Obstructive Pulmonary Disease",126.12224,4.3063292,31.998775,21.395721,0.9666315
"Blue Mountains",5,"Lung Cancer",108.06112,3.6896487,27.416446,18.196964,0.6636794
"Blue Mountains",6,"Colorectal Cancer",101.36671,3.4610741,25.717991,16.963867,1.0014436
"Blue Mountains",7,"Prostate Cancer",74.244472,2.53501,18.836743,12.318798,1.1583061
"Blue Mountains",8,"Diabetes",73.30559,2.5029528,18.598537,12.380787,0.7921527
"Blue Mountains",9,"Hypertensive Disease",70.061118,2.3921732,17.775374,11.742964,1.7779907
"Blue Mountains",10,"Pancreatic Cancer",64.183354,2.1914823,16.284113,10.786653,1.057598
"Blue Mountains",11,"Heart Failure / Ill-defined Heart Disease",60,2.0486455,15.222744,10.023726,1.0020203
"Blue Mountains",12,"Breast Cancer",57.122236,1.9503868,14.49262,10.10452,0.9888288
"Blue Mountains",13,"Suicide",53.244472,1.8179841,13.508783,13.302293,1.0547962
"Blue Mountains",14,"Unknown / Ill-defined Cancer",52,1.7754928,13.193045,8.9884958,0.9510893
"Blue Mountains",15,"Cardiac Arrhythmias",49.061118,1.6751473,12.447414,8.2469359,1.1610496
"Blue Mountains",16,"Influenza / Pneumonia",48.061118,1.6410032,12.193702,8.1604432,0.8999547
"Blue Mountains",17,"Accidental Falls",48,1.6389164,12.178195,8.4127047,0.8683365
"Blue Mountains",18,"Parkinson disease (G20)",43,1.4681959,10.909633,7.1513425,1.1513013
"Blue Mountains",19,"Leukaemia (C91–C95)",38.244472,1.3058227,9.7030967,7.0924781,1.1445472
"Blue Mountains",20,"Liver disease (K70–K76)",38.061118,1.2995623,9.6565776,7.4533873,1.0314951
"Blue Mountains",NA,"Top 20 leading causes",1886.0531,64.39757,NA,NA,NA
"Blue Mountains",NA,"All causes",2928.7644,100,743.06385,513.41809,0.9995195
"Bogan",1,"Coronary Heart Disease",17.639015,11.992785,136.6196,NA,NA
"Bogan",2,"Chronic Obstructive Pulmonary Disease",10.715171,7.2852562,82.992297,NA,NA
"Bogan",3,"Stroke / Cerebrovascular Disease",8.5552369,5.8167149,66.262945,NA,NA
"Bogan",4,"Lung Cancer",8.0315449,5.4606562,62.20679,NA,NA
"Bogan",5,"Dementia / Alzheimer's",7.4885497,5.0914731,58.001124,NA,NA
